;"LECHE Y DERIVADOS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"leche";"pasteurizada";100;50;89,5;3,4;2,5;3,9;0;0,7;120;95;0,3;120;29;0,04;0,18;0,1;1;275;;138;246,1;9,4;6,9;10,7;0,0;1,9;330;261;0,8;330;80;0,11;0,50;0,3;3;
5;"leche en polvo";"completa";;407;5,3;25,2;25;38,2;0;6,3;940;745;0,8;1200;288;0,26;1,42;0,6;4;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
"Medellín 5";"leche baja en grasa";"1%, pasteurizada";100;42;90,1;3,3;1,1;4,8;0;0,7;123;96;0,1;205;59;0,04;0,17;0,1;1;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
"Alquería";"leche deslactosada";"semidescremada";100;46;;3;1,5;5;0;;120;95;0,3;120;29;0,04;0,18;0,1;1;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
8;"leche condensada";;100;321;27;8,1;8,4;54,8;0;1,7;270;230;0,2;400;96;0,05;0,39;0,2;1;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
18;"crema de leche";;100;204;72,5;2,9;20;4;0;0,6;95;75;0,1;800;192;0,03;0,14;0,1;1;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
19;"cuajada";;100;256;57,5;15,6;18,9;6,1;0;1,9;490;270;1,5;800;192;0,02;0,46;0,8;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
20;"kumis";;100;76;80,5;3,5;0,4;14,9;0;0,7;106;56;0,1;0;0;0,03;0,17;0;1;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
21;"yogur";;100;94;78,9;2,9;2,9;14,6;0;0,7;111;64;0,3;0;0;0,04;0,2;0;3;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
22;"queso duro";"con crema";100;387;37;25;31;2;0;5;800;600;0,8;1600;384;0,04;0,5;0,2;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
23;"queso duro";"semi-descremado";100;341;36;34;21;3;0;6;700;500;1;800;192;0,1;0,5;0,2;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
24;"queso semiblando";"con crema";100;280;50,3;21,7;19;5,1;0;3,9;690;380;0,7;1400;336;0,02;0,4;0,1;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
25;"queso semiblando";"descremado";100;155;55,3;28,2;4,8;6,3;0;5,4;800;500;1,3;40;10;0,04;0,49;0,1;0;30;;47;16,6;8,5;1,4;1,9;0,0;1,6;240;150;0,4;12;3;0,01;0,15;0,0;0;
26;"queso blando";"con crema";100;145;70;15;7;5;0;3;350;250;0,5;600;144;0,02;0,3;0,1;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
27;"queso blando";"descremado";100;128;69;26;1;2;0;2;400;400;1;20;5;0,05;0,6;0,1;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
"Anexo 1";"queso parmesano";;;393;30;36;26;2,9;0;5,1;1140;781;0,4;1060;;0,02;0,73;0,2;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
773;"queso crema para untar";;100;277;0;12,7;21,9;7,2;0;0;394;790;2,1;0;0;0,02;0,02;0,1;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
;"CARNES";;;;;;;;;;;;;;;;;;;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
28;"carne de res";"magra";;150;71;21,5;6,5;0;0;1,1;6;215;2,7;0;;0,08;0,23;5,1;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
30;"carne de res";"semigorda";;232;63,4;18,7;16,9;0;0;1;6;210;3,1;0;;0,06;0,17;4,3;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
31;"carne de res";"gorda";;298;57,7;16;25,4;0;0;0,9;8;210;2,6;0;;0,06;0,16;3,2;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
34;"carne de cerdo ";"magra";;186;68,5;18,5;11,9;0;0;1,1;5;220;2;0;;0,71;0,25;2,8;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
35;"carne de cerdo ";"semigorda";;248;62,8;16,5;19,7;0;0;1;5;180;2;0;;0,76;0,22;2,4;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
36;"carne de cerdo";"gorda";;291;58,2;16,3;24,5;0;0;1;6;190;1,5;0;;0,79;0,19;2,1;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
37;"carne de cerdo";"muy gorda ";;406;47,5;12,6;39,1;0;0;0,8;6;150;1,4;0;;0,42;0,17;2;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
38;"carne de cordero";"magra";;170;70,1;19,3;9,5;0;0;1,1;7;180;2,2;0;0;0,09;0,21;2,9;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
39;"carne de cordero";"semigorda";;253;61,4;18,2;19,4;0;0;1;7;190;2,5;0;0;0,07;0,15;2;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
41;"carne de cordero";"muy gorda ";;351;51,9;14,4;32,8;0;0;0,9;5;160;2,2;0;0;0,07;0,19;2,2;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
42;"carne de ternera";"magra";;180;69;19,2;10,8;0;0;1;11;208;2,9;0;0;0,18;0,27;6,3;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
45;"gallina";;60;303;55,9;18;25;0;0;1,1;14;200;1,5;0;0;0,08;0,16;8;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
46;"pollo";;60;178;68,6;20,2;10,2;0;0;1;14;200;1,5;0;;0,08;0,16;9;0;150;;267;102,9;30,3;15,3;0,0;0,0;1,5;21;300;2,3;0;0;0,12;0,24;13,5;0;
;"PESCADOS";;;;;;;;;;;;;;;;;;;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
47;"pescado bagre";;85;184;68,9;18,9;11,4;0;0;0,8;20;200;0,6;0;;0,02;0,1;2;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
48;"pescado de mar";"magro ";50;100;77;20,5;1,4;0;0;1,1;22;200;0,5;0;;0,05;0,1;2,8;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
49;"pescado de rio";"magro ";50;101;78,4;17,9;2,7;0;0;1;20;180;0,7;0;;0,03;0,08;3;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
50;"pescado seco";;;358;12,3;77,9;2,8;0;0;7;50;891;3,6;0;0;0,08;0,45;10,9;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
;"MARISCOS";;;;;;;;;;;;;;;;;;;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
52;"camarón";"carne cocida ";50;109;74;35,5;1;0;0;1,5;100;200;3;0;0;0,01;0,03;2;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
54;"langosta";"carne  ";35;88;79,2;16,2;1,9;0,5;0;2,2;61;180;0,6;0;0;0,13;0,06;1,9;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
;"VÍSCERAS";;;;;;;;;;;;;;;;;;;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
58;"callo o menudo";"cocido";100;125;68,8;24,7;1,9;0,7;0;3,9;5;104;2,7;0;;0,03;0,16;1,6;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
68;"hígado de res";"tejido blando";100;136;71,7;20;4,5;2,3;0;1,5;9;340;6;30000;8404;0,2;3,2;9;30;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
69;"hígado de res";"cocido y frito";100;218;56;25,9;11;2,1;0;5;6;414;13,6;36000;10089;0,21;4,32;10,8;27;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
70;"lengua de res";"tejido blando";95;165;71;16,5;10,3;0,5;0;0,7;9;150;1,5;0;0;0,09;0,36;2,8;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
;"EMBUTIDOS";;;;;;;;;;;;;;;;;;;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
81;"butifarra";;100;183;70,2;13,8;12,9;2,1;0;1;10;44;3,7;10;3;0,12;0,28;2,1;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
82;"chorizo";;100;313;51,5;20,6;25;0;0,6;2,3;28;103;6,7;0;0;0,12;0,28;2,5;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
83;"hamburguesa";;100;148;65,5;9,6;5,7;14,5;1,5;3,2;65;190;3;15;4;0,66;0,3;5,8;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
84;"jamón";"magro crudo";100;147;72;20,4;6,6;0;0;1;12;238;3,1;0;0;0,66;0,3;5,8;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
"Anexo 1";"mortadela";;100;315;48,9;20,4;25;0,6;0;5,1;12;238;3,1;0;;0,03;0,12;2,4;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
85;"salchichas";;100;259;58,8;14,9;20,5;2,7;0;3,1;8;100;1,5;0;;0,18;0,19;2,8;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
86;"salchichón";;100;450;29,8;23,8;38,3;1,2;0;7,1;14;283;3,6;0;0;0,37;0,25;5,3;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
87;"caldo de carne";"Maggi  cubos";100;260;2,9;13,5;15,8;15,4;1,1;51,3;220;275;2;100;28;0,61;0,29;4;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
88;"caldo de gallina";"Maggi  cubos";100;288;3;19,3;17,3;12,8;1;46,6;216;260;1,8;280;66;0,6;0,28;4,2;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
"Anexo 1";"caldo de cubos";;;19;93,7;2,8;0,1;1,5;0;1,9;10;59;1;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
;"CONSERVAS DE PESCADO";;;;;;;;;;;;;;;;;;;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
89;"atún";"con aceite";100;269;55,4;24;18,5;0;0;2,1;8;230;1,2;200;56;0,04;0,14;10,2;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
91;"salmón enlatado";;100;156;68,7;21,4;7,2;0;0;2,7;200;300;0,7;100;28;0,03;0,16;7,4;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
92;"sardinas enlatadas";"en aceite";100;339;47,1;21,1;27;1;0;3,8;350;430;3,5;100;28;0,01;0,14;4;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
93;"sardinas enlatadas";"salsa de tomate";100;216;63,1;17,8;14,8;1,6;0;2,7;380;400;4,1;0;;0,01;0,17;5,3;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
;"HUEVO";;;;;;;;;;;;;;;;;;;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
94;"huevo entero";"sin cáscara";90;163;74;12,8;11,5;0,7;0;1;54;210;2,7;1100;264;0,1;0,29;0,1;0;69;;112;51,1;8,8;7,9;0,5;0,0;0,7;37;145;1,9;759;182;0,07;0,20;0,1;0;
95;"clara de huevo";;100;50;87,8;10,8;0;0,8;0;0,6;6;17;0,2;0;0;0;0,26;0,1;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
96;"yema de huevo";;100;362;49,4;16,3;31,9;0,7;0;1,7;147;580;7,2;3200;769;0,27;0,35;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
;"LEGUMINOSAS";;;;;;;;;;;;;;;;;;;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
97;"arveja verde";"grano entero";40;116;66;8,2;0,3;21,1;3;1;36;110;2,4;220;22;0,36;0,12;2,2;20;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
98;"fríjol verde";"grano entero";50;151;58,2;10,5;0,4;27,2;1,8;1,9;67;220;3,3;40;4;0,39;0,08;1,4;16;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
99;"habas verdes";"grano entero";60;130;65,7;9,9;0,3;18,3;4,5;1,3;50;190;2;100;10;0,29;0,15;1,6;20;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
100;"arveja seca";"seca";100;308;12,4;23,9;0,8;54;6,5;2,4;60;270;4,6;220;22;0,78;0,16;3,1;2;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
116;"fríjol rojo";".........                             ";100;302;14,8;20,4;1,2;54,6;5;4;100;430;7,1;0;;0,43;0,12;1,9;3;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
